axis,origin,k0,FWHM,Amplitude,constant
x,-0.5302266082008089,0.15343452100818164,0.3194089730590045,0.17083006223088684,0.11878694604732119
30,0.9183794249287177,0.014798093298327026,0.046929050734819046,0.018280519673912178,0.012012303398598396
y,0.07953399123012134,0.880317570849327,0.32444522733324244,0.20370021142572903,0.1359660392859231
30,0.045918971246435895,0.011890847765761575,0.05780959302652064,0.02772435549206706,0.028125832853017268
