x, y
0.1262135922330097, -2.472049689440994
0.10922330097087378, -2.4627329192546585
0.0849514563106796, -2.4347826086956523
0.09708737864077668, -2.37888198757764
0.11407766990291261, -2.360248447204969
0.13106796116504854, -2.3322981366459627
0.11650485436893203, -2.2857142857142856
0.09708737864077668, -2.229813664596273
0.08009708737864077, -2.1832298136645965
0.09466019417475727, -2.1273291925465836
0.10679611650485436, -2.090062111801242
0.1262135922330097, -2.062111801242236
0.14320388349514562, -2.0155279503105588
0.1674757281553398, -1.9875776397515528
0.1844660194174757, -1.9875776397515528
0.20145631067961164, -1.9596273291925466
0.21844660194174756, -1.9596273291925466
0.2402912621359223, -1.9596273291925466
0.24271844660194172, -1.875776397515528
0.2621359223300971, -1.8385093167701863
0.2766990291262136, -1.8198757763975155
0.2669902912621359, -1.763975155279503
0.24999999999999997, -1.763975155279503
0.23300970873786406, -1.7267080745341614
0.20388349514563106, -1.7267080745341614
0.17961165048543687, -1.6987577639751552
0.16019417475728154, -1.6521739130434783
0.17718446601941745, -1.6149068322981366
0.1966019417475728, -1.5962732919254659
0.22087378640776698, -1.5776397515527951
0.24271844660194172, -1.5683229813664596
0.26941747572815533, -1.549689440993789
0.2936893203883495, -1.5403726708074534
0.3203883495145631, -1.5217391304347827
0.34466019417475724, -1.484472049689441
0.366504854368932, -1.4565217391304348
0.39563106796116504, -1.4565217391304348
0.4199029126213592, -1.4285714285714286
0.4053398058252427, -1.3819875776397514
0.37864077669902907, -1.3540372670807452
0.3543689320388349, -1.34472049689441
0.3276699029126213, -1.326086956521739
0.3058252427184466, -1.326086956521739
0.279126213592233, -1.3167701863354038
0.25485436893203883, -1.3074534161490683
0.2378640776699029, -1.2608695652173914
0.2645631067961165, -1.2329192546583851
0.28640776699029125, -1.204968944099379
0.2961165048543689, -1.1490683229813665
0.2815533980582524, -1.1211180124223603
0.25728155339805825, -1.1211180124223603
0.2111650485436893, -1.0745341614906831
0.18932038834951453, -1.046583850931677
0.23543689320388347, -1.093167701863354
0.19174757281553395, -0.9906832298136645
0.20388349514563106, -0.9161490683229814
0.1844660194174757, -0.8695652173913042
0.16019417475728154, -0.8509316770186335
0.13592233009708737, -0.8136645962732918
0.1116504854368932, -0.7763975155279503
0.10679611650485436, -0.6832298136645962
0.09951456310679611, -0.6086956521739131
0.08009708737864077, -0.5900621118012421
0.058252427184466014, -0.5527950310559007
0.038834951456310676, -0.5341614906832297
0.019417475728155338, -0.5062111801242235
0.009708737864077669, -0.44099378881987583
