x, y
0.1262135922330097, -2.4439601494396017
0.1383495145631068, -2.415940224159402
0.1529126213592233, -2.3785803237858034
0.16019417475728154, -2.3318804483188047
0.14805825242718446, -2.2945205479452055
0.12864077669902912, -2.2571606475716064
0.10922330097087378, -2.2291407222914073
0.09223300970873785, -2.201120797011208
0.07281553398058252, -2.1824408468244085
0.05339805825242718, -2.1544209215442094
0.050970873786407765, -2.0983810709838107
0.04854368932038834, -2.0330012453300124
0.04126213592233009, -1.9676214196762143
0.03155339805825243, -1.9115815691158158
0.029126213592233007, -1.8462017434620175
0.019417475728155338, -1.7808219178082192
0.02669902912621359, -1.724782067247821
0.02427184466019417, -1.6687422166874222
0.019417475728155338, -1.6033623910336239
0.012135922330097085, -1.5379825653798256
0.007281553398058252, -1.4726027397260275
0.009708737864077669, -1.4072229140722292
0.007281553398058252, -1.341843088418431
0.007281553398058252, -1.267123287671233
0.0024271844660194173, -1.2110834371108345
0.0048543689320388345, -1.155043586550436
0.007281553398058252, -1.080323785803238
0.007281553398058252, -1.0242839352428394
0.0024271844660194173, -0.9682440846824409
0.0048543689320388345, -0.9122042341220424
0.0048543689320388345, -0.8374844333748446
0.0024271844660194173, -0.7721046077210463
