axis,origin,k0,scale/FWHM,Amplitude,constant
x,0,-0.737026872498693,-6.582526781046816,0.04813535818845227,0.13191543862888871
280,0,0.06849835711162941,3.9220233314754593,0.009640127164419485,0.005486288471299753
y,0.0,-0.33988026212805345,0.6721299437482097,0.08452627036122244,0.1345657922865554
280,0.9183794249287178,0.021690980866143676,0.10419238950657947,0.009022591900440259,0.009107563313628867
